B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
6015,424,47,43,0,17,0,17,0,17,0,17,0,17,19,30,0,17,3,13,0,17,0,17,0,17,34,37,0,17,109,93,521,238,65,64,228,134,716,276,370,142,2238,337,1287,254,139,75,239,99,1400000US08013013213,"Census Tract 132.13, Boulder County, Colorado"
3892,281,41,50,0,17,0,17,0,17,0,17,0,17,0,17,20,27,0,17,0,17,0,17,0,17,15,26,65,50,47,43,600,217,96,61,381,128,514,182,280,116,899,190,666,193,150,103,118,68,1400000US08013013302,"Census Tract 133.02, Boulder County, Colorado"
3392,307,62,81,0,17,0,17,0,17,0,17,0,17,31,40,0,17,26,49,0,17,0,17,5,16,15,27,40,42,71,46,642,164,102,60,227,90,403,128,327,92,855,180,432,163,92,72,62,40,1400000US08013013305,"Census Tract 133.05, Boulder County, Colorado"
3305,278,108,102,0,12,0,12,0,12,0,12,0,12,0,12,116,104,34,37,0,12,68,57,46,56,17,23,14,19,33,30,570,155,138,79,332,98,444,100,443,130,625,153,190,85,71,57,56,50,1400000US08013013306,"Census Tract 133.06, Boulder County, Colorado"
3096,231,32,36,0,12,0,12,0,12,0,12,0,12,21,29,0,12,169,139,0,12,24,27,77,68,34,51,88,71,83,75,457,143,123,78,215,117,429,124,305,117,695,130,244,90,8,13,92,82,1400000US08013013307,"Census Tract 133.07, Boulder County, Colorado"
2746,164,6,10,0,12,0,12,0,12,0,12,33,53,10,15,0,12,93,54,27,43,107,88,52,54,62,50,73,62,37,41,432,135,103,61,205,71,401,104,233,98,558,130,184,69,94,72,36,31,1400000US08013013308,"Census Tract 133.08, Boulder County, Colorado"
2139,194,52,88,0,12,0,12,0,12,0,12,0,12,0,12,33,51,0,12,0,12,14,21,25,26,8,13,19,22,102,74,308,105,156,99,194,75,306,108,225,136,495,127,115,63,34,31,53,42,1400000US08013013401,"Census Tract 134.01, Boulder County, Colorado"
5428,388,112,124,0,17,0,17,0,17,73,86,0,17,0,17,44,72,17,28,40,65,72,86,136,108,98,94,44,67,104,89,910,269,406,189,154,69,824,181,364,125,1214,222,562,153,131,69,123,81,1400000US08013013402,"Census Tract 134.02, Boulder County, Colorado"
3317,244,89,60,0,17,0,17,0,17,29,43,0,17,14,22,48,50,27,32,0,17,41,41,63,45,88,78,55,32,144,78,614,152,284,94,229,87,482,140,228,73,691,151,99,47,38,43,54,49,1400000US08013013503,"Census Tract 135.03, Boulder County, Colorado"
2521,221,41,43,0,12,0,12,0,12,42,61,0,12,32,48,0,12,36,52,0,12,15,17,110,77,25,27,72,61,240,142,566,134,109,53,229,96,345,122,267,102,286,92,70,45,21,33,15,17,1400000US08013013505,"Census Tract 135.05, Boulder County, Colorado"
3291,165,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,57,59,0,12,13,21,18,29,39,47,16,26,49,51,526,182,115,76,159,72,548,129,227,97,912,146,512,151,65,48,35,32,1400000US08013013506,"Census Tract 135.06, Boulder County, Colorado"
2229,151,25,40,0,12,0,12,0,12,0,12,23,38,0,12,0,12,0,12,0,12,15,24,69,64,22,37,0,12,95,79,363,93,119,74,181,67,387,123,100,51,563,126,202,67,0,12,65,49,1400000US08013013507,"Census Tract 135.07, Boulder County, Colorado"
4992,280,11,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,123,165,650,189,102,82,401,195,763,210,439,162,1657,278,667,172,111,72,68,45,1400000US08013013508,"Census Tract 135.08, Boulder County, Colorado"
2952,197,46,37,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,30,36,19,30,17,21,8,12,387,116,8,11,127,58,371,116,166,69,1034,170,515,128,145,84,69,41,1400000US08013013601,"Census Tract 136.01, Boulder County, Colorado"
740,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,103,51,19,15,45,25,63,37,91,36,250,69,108,54,39,30,22,15,1400000US08013013602,"Census Tract 136.02, Boulder County, Colorado"
4784,305,19,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,29,0,17,3,8,11,14,0,17,0,17,286,126,35,38,183,86,355,124,418,185,1766,268,1109,193,271,103,310,108,1400000US08013013701,"Census Tract 137.01, Boulder County, Colorado"
4700,369,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,56,78,15,24,26,40,473,153,39,30,152,81,671,155,273,106,1720,276,1030,260,104,56,127,71,1400000US08013013702,"Census Tract 137.02, Boulder County, Colorado"
4335,409,26,39,0,17,0,17,0,17,0,17,0,17,0,17,4,13,0,17,0,17,0,17,0,17,4,12,0,17,25,42,309,166,63,67,334,177,260,114,321,146,1787,307,879,209,165,111,158,113,1400000US08013060600,"Census Tract 606, Boulder County, Colorado"
2281,113,45,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,207,76,26,25,35,28,241,69,142,64,891,117,550,122,60,47,84,46,1400000US08013060700,"Census Tract 607, Boulder County, Colorado"
5963,402,0,17,0,17,0,17,0,17,0,17,0,17,60,89,0,17,54,55,0,17,74,70,153,125,125,120,73,78,95,67,961,240,285,175,406,235,734,234,474,185,1674,273,626,213,44,41,125,104,1400000US08013060800,"Census Tract 608, Boulder County, Colorado"
