GEO_ID,NAME,B01003_001E,B01003_001M
1400000US08005086700,"Census Tract 867, Arapahoe County, Colorado",5485,253
1400000US08005086800,"Census Tract 868, Arapahoe County, Colorado",7377,737
1400000US08005086900,"Census Tract 869, Arapahoe County, Colorado",3118,363
1400000US08005087000,"Census Tract 870, Arapahoe County, Colorado",5264,804
1400000US08005087100,"Census Tract 871, Arapahoe County, Colorado",2789,268
1400000US08005087200,"Census Tract 872, Arapahoe County, Colorado",4142,505
1400000US08005087300,"Census Tract 873, Arapahoe County, Colorado",8018,686
1400000US08007940400,"Census Tract 9404, Archuleta County, Colorado",1298,189
1400000US08007974200,"Census Tract 9742, Archuleta County, Colorado",5768,452
1400000US08007974300,"Census Tract 9743, Archuleta County, Colorado",3547,358
1400000US08007974400,"Census Tract 9744, Archuleta County, Colorado",2640,289
1400000US08009964600,"Census Tract 9646, Baca County, Colorado",1662,110
1400000US08009964700,"Census Tract 9647, Baca County, Colorado",1899,110
1400000US08011966700,"Census Tract 9667, Bent County, Colorado",5787,*****
1400000US08013012101,"Census Tract 121.01, Boulder County, Colorado",4631,390
1400000US08013012102,"Census Tract 121.02, Boulder County, Colorado",7349,472
1400000US08013012103,"Census Tract 121.03, Boulder County, Colorado",3835,231
1400000US08013012104,"Census Tract 121.04, Boulder County, Colorado",2557,205
1400000US08013012105,"Census Tract 121.05, Boulder County, Colorado",5879,433
1400000US08013012201,"Census Tract 122.01, Boulder County, Colorado",3845,329
1400000US08013012202,"Census Tract 122.02, Boulder County, Colorado",6362,562
1400000US08013012203,"Census Tract 122.03, Boulder County, Colorado",7569,537
1400000US08013012204,"Census Tract 122.04, Boulder County, Colorado",4299,417
1400000US08013012300,"Census Tract 123, Boulder County, Colorado",6720,365
1400000US08013012401,"Census Tract 124.01, Boulder County, Colorado",6088,893
1400000US08013012501,"Census Tract 125.01, Boulder County, Colorado",2514,185
1400000US08013012505,"Census Tract 125.05, Boulder County, Colorado",4089,228
1400000US08013012507,"Census Tract 125.07, Boulder County, Colorado",4436,368
1400000US08013012508,"Census Tract 125.08, Boulder County, Colorado",3081,287
1400000US08013012509,"Census Tract 125.09, Boulder County, Colorado",3328,173
1400000US08013012510,"Census Tract 125.10, Boulder County, Colorado",4192,317
1400000US08013012511,"Census Tract 125.11, Boulder County, Colorado",6470,496
1400000US08013012603,"Census Tract 126.03, Boulder County, Colorado",3411,190
1400000US08013012605,"Census Tract 126.05, Boulder County, Colorado",1485,190
1400000US08013012607,"Census Tract 126.07, Boulder County, Colorado",5926,655
1400000US08013012608,"Census Tract 126.08, Boulder County, Colorado",2462,204
1400000US08013012701,"Census Tract 127.01, Boulder County, Colorado",5911,320
1400000US08013012705,"Census Tract 127.05, Boulder County, Colorado",4457,272
1400000US08013012707,"Census Tract 127.07, Boulder County, Colorado",2457,294
1400000US08013012708,"Census Tract 127.08, Boulder County, Colorado",4961,271
1400000US08013012709,"Census Tract 127.09, Boulder County, Colorado",1867,97
1400000US08013012710,"Census Tract 127.10, Boulder County, Colorado",3616,178
1400000US08013012800,"Census Tract 128, Boulder County, Colorado",12923,354
1400000US08013012903,"Census Tract 129.03, Boulder County, Colorado",2354,137
1400000US08013012904,"Census Tract 129.04, Boulder County, Colorado",5567,370
1400000US08013012905,"Census Tract 129.05, Boulder County, Colorado",2723,207
1400000US08013012907,"Census Tract 129.07, Boulder County, Colorado",3681,370
1400000US08013013003,"Census Tract 130.03, Boulder County, Colorado",7365,361
1400000US08013013004,"Census Tract 130.04, Boulder County, Colorado",3530,220
1400000US08013013005,"Census Tract 130.05, Boulder County, Colorado",3179,206
1400000US08013013006,"Census Tract 130.06, Boulder County, Colorado",6072,237
1400000US08013013201,"Census Tract 132.01, Boulder County, Colorado",1678,174
1400000US08013013202,"Census Tract 132.02, Boulder County, Colorado",1438,114
1400000US08013013205,"Census Tract 132.05, Boulder County, Colorado",5396,424
1400000US08013013207,"Census Tract 132.07, Boulder County, Colorado",4538,371
1400000US08013013208,"Census Tract 132.08, Boulder County, Colorado",6638,514
1400000US08013013210,"Census Tract 132.10, Boulder County, Colorado",5335,366
1400000US08013013211,"Census Tract 132.11, Boulder County, Colorado",6142,543
1400000US08013013212,"Census Tract 132.12, Boulder County, Colorado",4533,254
1400000US08013013213,"Census Tract 132.13, Boulder County, Colorado",9827,711
1400000US08013013302,"Census Tract 133.02, Boulder County, Colorado",5068,380
1400000US08013013305,"Census Tract 133.05, Boulder County, Colorado",5425,298
1400000US08013013306,"Census Tract 133.06, Boulder County, Colorado",4880,429
1400000US08013013307,"Census Tract 133.07, Boulder County, Colorado",4073,231
1400000US08013013308,"Census Tract 133.08, Boulder County, Colorado",3492,235
1400000US08013013401,"Census Tract 134.01, Boulder County, Colorado",3140,402
1400000US08013013402,"Census Tract 134.02, Boulder County, Colorado",8149,727
1400000US08013013503,"Census Tract 135.03, Boulder County, Colorado",5325,363
1400000US08013013505,"Census Tract 135.05, Boulder County, Colorado",4269,438
1400000US08013013506,"Census Tract 135.06, Boulder County, Colorado",4561,238
1400000US08013013507,"Census Tract 135.07, Boulder County, Colorado",3416,244
1400000US08013013508,"Census Tract 135.08, Boulder County, Colorado",7376,380
1400000US08013013601,"Census Tract 136.01, Boulder County, Colorado",4016,308
1400000US08013013602,"Census Tract 136.02, Boulder County, Colorado",867,160
1400000US08013013701,"Census Tract 137.01, Boulder County, Colorado",5990,341
1400000US08013013702,"Census Tract 137.02, Boulder County, Colorado",5735,481
1400000US08013060600,"Census Tract 606, Boulder County, Colorado",6110,369
1400000US08013060700,"Census Tract 607, Boulder County, Colorado",3132,196
1400000US08013060800,"Census Tract 608, Boulder County, Colorado",8831,606
1400000US08013060900,"Census Tract 609, Boulder County, Colorado",4608,307
1400000US08013061300,"Census Tract 613, Boulder County, Colorado",3336,182
