geoid,name,B01003001,"B01003001, Error"
14000US08013012507,"Census Tract 125.07, Boulder, CO",4322,436
14000US08013012508,"Census Tract 125.08, Boulder, CO",2759,289
14000US08013012509,"Census Tract 125.09, Boulder, CO",3576,441
14000US08013012510,"Census Tract 125.10, Boulder, CO",4003,389
14000US08013012511,"Census Tract 125.11, Boulder, CO",6615,591
14000US08013012603,"Census Tract 126.03, Boulder, CO",3470,466
14000US08013012605,"Census Tract 126.05, Boulder, CO",1831,393
14000US08013012608,"Census Tract 126.08, Boulder, CO",2594,293
14000US08013012701,"Census Tract 127.01, Boulder, CO",5990,577
14000US08013012705,"Census Tract 127.05, Boulder, CO",5499,841
14000US08013012707,"Census Tract 127.07, Boulder, CO",2543,430
14000US08013012708,"Census Tract 127.08, Boulder, CO",4581,429
14000US08013012709,"Census Tract 127.09, Boulder, CO",2098,383
14000US08013012710,"Census Tract 127.10, Boulder, CO",3544,263
14000US08013012903,"Census Tract 129.03, Boulder, CO",2482,341
14000US08013012904,"Census Tract 129.04, Boulder, CO",5748,560
14000US08013012905,"Census Tract 129.05, Boulder, CO",2691,353
14000US08013012907,"Census Tract 129.07, Boulder, CO",3272,362
14000US08013013003,"Census Tract 130.03, Boulder, CO",7149,584
14000US08013013004,"Census Tract 130.04, Boulder, CO",3086,365
14000US08013013005,"Census Tract 130.05, Boulder, CO",2660,249
14000US08013013006,"Census Tract 130.06, Boulder, CO",5754,639
14000US08013013201,"Census Tract 132.01, Boulder, CO",1919,210
14000US08013013202,"Census Tract 132.02, Boulder, CO",1510,246
14000US08013013205,"Census Tract 132.05, Boulder, CO",5102,556
14000US08013013207,"Census Tract 132.07, Boulder, CO",4197,416
14000US08013013208,"Census Tract 132.08, Boulder, CO",6386,641
14000US08013013210,"Census Tract 132.10, Boulder, CO",5911,847
14000US08013013211,"Census Tract 132.11, Boulder, CO",6517,1169
14000US08013013212,"Census Tract 132.12, Boulder, CO",4907,575
14000US08013013302,"Census Tract 133.02, Boulder, CO",4995,524
14000US08013013305,"Census Tract 133.05, Boulder, CO",5747,840
14000US08013013306,"Census Tract 133.06, Boulder, CO",4839,706
14000US08013013307,"Census Tract 133.07, Boulder, CO",4014,419
14000US08013013308,"Census Tract 133.08, Boulder, CO",3516,495
14000US08013013401,"Census Tract 134.01, Boulder, CO",3102,403
14000US08013013402,"Census Tract 134.02, Boulder, CO",7806,986
14000US08013013503,"Census Tract 135.03, Boulder, CO",4989,614
14000US08013013505,"Census Tract 135.05, Boulder, CO",4686,1179
14000US08013013506,"Census Tract 135.06, Boulder, CO",4413,389
14000US08013013507,"Census Tract 135.07, Boulder, CO",3464,360
14000US08013013508,"Census Tract 135.08, Boulder, CO",7234,613
14000US08013013601,"Census Tract 136.01, Boulder, CO",4137,383
14000US08013013602,"Census Tract 136.02, Boulder, CO",1049,310
14000US08013060700,"Census Tract 607, Boulder, CO",2895,342
14000US08013060900,"Census Tract 609, Boulder, CO",4856,558
14000US08013061300,"Census Tract 613, Boulder, CO",3375,419
14000US08013061400,"Census Tract 614, Boulder, CO",4037,460
14000US08014030000,"Census Tract 300, Broomfield, CO",3625,435
14000US08014030100,"Census Tract 301, Broomfield, CO",2568,443
14000US08014030200,"Census Tract 302, Broomfield, CO",1992,255
14000US08014030300,"Census Tract 303, Broomfield, CO",4150,464
14000US08014030400,"Census Tract 304, Broomfield, CO",4084,475
14000US08014030500,"Census Tract 305, Broomfield, CO",5603,525
14000US08014030600,"Census Tract 306, Broomfield, CO",6117,675
14000US08014030700,"Census Tract 307, Broomfield, CO",3106,384
14000US08014030800,"Census Tract 308, Broomfield, CO",5938,536
14000US08014030900,"Census Tract 309, Broomfield, CO",5574,576
14000US08014031000,"Census Tract 310, Broomfield, CO",5753,547
14000US08014031300,"Census Tract 313, Broomfield, CO",2626,346
14000US08014980100,"Census Tract 9801, Broomfield, CO",0,12
14000US08014980200,"Census Tract 9802, Broomfield, CO",0,12
14000US08014980300,"Census Tract 9803, Broomfield, CO",0,12
14000US08015000100,"Census Tract 1, Chaffee, CO",2581,358
14000US08015000200,"Census Tract 2, Chaffee, CO",4498,402
14000US08015000300,"Census Tract 3, Chaffee, CO",3269,465
14000US08015000402,"Census Tract 4.02, Chaffee, CO",5162,511
14000US08017960600,"Census Tract 9606, Cheyenne, CO",1999,215
14000US08019014800,"Census Tract 148, Clear Creek, CO",1725,296
14000US08019014900,"Census Tract 149, Clear Creek, CO",2658,288
14000US08021974800,"Census Tract 9748, Conejos, CO",3812,297
14000US08021974900,"Census Tract 9749, Conejos, CO",4318,297
14000US08023972600,"Census Tract 9726, Costilla, CO",2156,219
14000US08023972700,"Census Tract 9727, Costilla, CO",1654,219
14000US08029964600,"Census Tract 9646, Delta, CO",3970,478
14000US08029964700,"Census Tract 9647, Delta, CO",4020,244
14000US08029964800,"Census Tract 9648, Delta, CO",4018,456
14000US08029964900,"Census Tract 9649, Delta, CO",5764,520
14000US08029965100,"Census Tract 9651, Delta, CO",3671,471
14000US08031000102,"Census Tract 1.02, Denver, CO",3667,512
14000US08031000201,"Census Tract 2.01, Denver, CO",3381,505
14000US08031000202,"Census Tract 2.02, Denver, CO",4380,784
14000US08031000301,"Census Tract 3.01, Denver, CO",5403,560
14000US08031000302,"Census Tract 3.02, Denver, CO",4863,828
14000US08031000303,"Census Tract 3.03, Denver, CO",5071,899
14000US08031000401,"Census Tract 4.01, Denver, CO",3754,736
14000US08031000501,"Census Tract 5.01, Denver, CO",2154,204
14000US08031000600,"Census Tract 6, Denver, CO",3435,560
14000US08031000800,"Census Tract 8, Denver, CO",1414,355
14000US08031000902,"Census Tract 9.02, Denver, CO",6034,679
14000US08031000903,"Census Tract 9.03, Denver, CO",6547,961
14000US08031000904,"Census Tract 9.04, Denver, CO",5418,861
14000US08031000905,"Census Tract 9.05, Denver, CO",4225,531
14000US08031001000,"Census Tract 10, Denver, CO",4931,832
14000US08031001101,"Census Tract 11.01, Denver, CO",2481,344
14000US08031001102,"Census Tract 11.02, Denver, CO",4818,640
14000US08031001301,"Census Tract 13.01, Denver, CO",5570,1077
14000US08031001302,"Census Tract 13.02, Denver, CO",4015,652
14000US08031001401,"Census Tract 14.01, Denver, CO",5498,571
14000US08031001402,"Census Tract 14.02, Denver, CO",4802,1073
14000US08031001403,"Census Tract 14.03, Denver, CO",3409,582
14000US08031001500,"Census Tract 15, Denver, CO",4458,667
14000US08031001800,"Census Tract 18, Denver, CO",3332,405
14000US08031001901,"Census Tract 19.01, Denver, CO",3503,627
14000US08031002000,"Census Tract 20, Denver, CO",2510,359
14000US08031002300,"Census Tract 23, Denver, CO",5379,682
14000US08031002402,"Census Tract 24.02, Denver, CO",2043,318
14000US08031002602,"Census Tract 26.02, Denver, CO",3045,486
14000US08031002801,"Census Tract 28.01, Denver, CO",2952,355
14000US08031002802,"Census Tract 28.02, Denver, CO",4488,863
14000US08031002901,"Census Tract 29.01, Denver, CO",3412,375
14000US08031002902,"Census Tract 29.02, Denver, CO",4233,480
14000US08031003002,"Census Tract 30.02, Denver, CO",3021,405
14000US08031003003,"Census Tract 30.03, Denver, CO",3224,459
14000US08031003004,"Census Tract 30.04, Denver, CO",6783,886
14000US08031003101,"Census Tract 31.01, Denver, CO",1773,297
14000US08031003102,"Census Tract 31.02, Denver, CO",3426,425
14000US08031003202,"Census Tract 32.02, Denver, CO",3386,378
14000US08031003203,"Census Tract 32.03, Denver, CO",3172,510
14000US08031003300,"Census Tract 33, Denver, CO",3176,462
14000US08031003401,"Census Tract 34.01, Denver, CO",2563,248
14000US08031003402,"Census Tract 34.02, Denver, CO",4997,670
14000US08031003601,"Census Tract 36.01, Denver, CO",4888,731
14000US08031003602,"Census Tract 36.02, Denver, CO",4755,590
14000US08031003603,"Census Tract 36.03, Denver, CO",3500,464
14000US08031003701,"Census Tract 37.01, Denver, CO",3359,364
14000US08031003702,"Census Tract 37.02, Denver, CO",5199,799
14000US08031003703,"Census Tract 37.03, Denver, CO",3050,373
14000US08031003901,"Census Tract 39.01, Denver, CO",4218,668
14000US08031003902,"Census Tract 39.02, Denver, CO",4181,364
14000US08031004002,"Census Tract 40.02, Denver, CO",3509,353
14000US08031004003,"Census Tract 40.03, Denver, CO",4856,1444
14000US08031004004,"Census Tract 40.04, Denver, CO",1911,179
14000US08031004005,"Census Tract 40.05, Denver, CO",3248,449
