B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,NAME
4435,463,1175,292,948,274,0,12,159,129,25,50,0,12,0,12,43,49,0,12,43,49,3260,455,2757,467,0,12,161,180,0,12,0,12,91,123,251,190,95,100,156,186,1400000US08001009103,"Census Tract 91.03, Adams County, Colorado"
6355,491,2862,357,2497,392,71,61,69,83,74,64,34,43,0,17,117,80,18,21,99,75,3493,603,2672,681,47,55,9,15,0,17,0,17,628,482,137,140,92,129,45,58,1400000US08001009104,"Census Tract 91.04, Adams County, Colorado"
4554,415,1679,251,1426,205,105,157,0,12,59,46,0,12,0,12,89,75,0,12,89,75,2875,366,2461,402,0,12,8,11,0,12,0,12,178,123,228,183,13,14,215,184,1400000US08001009202,"Census Tract 92.02, Adams County, Colorado"
5220,501,2123,298,1806,302,30,32,0,17,230,188,0,17,0,17,57,53,0,17,57,53,3097,528,2634,473,0,17,0,17,0,17,0,17,203,208,260,284,37,34,223,282,1400000US08001009203,"Census Tract 92.03, Adams County, Colorado"
6836,529,4984,614,3580,553,471,412,0,17,552,288,0,17,0,17,381,248,0,17,381,248,1852,596,1516,546,0,17,128,197,0,17,0,17,165,135,43,67,43,67,0,17,1400000US08001009204,"Census Tract 92.04, Adams County, Colorado"
2340,144,1497,165,1198,174,12,13,5,8,201,144,0,12,0,12,81,61,0,12,81,61,843,149,675,182,21,37,32,51,0,12,0,12,54,46,61,56,40,51,21,24,1400000US08001009206,"Census Tract 92.06, Adams County, Colorado"
4760,412,2121,231,1907,226,0,12,0,12,108,106,0,12,0,12,106,78,9,14,97,73,2639,462,2162,504,0,12,131,107,0,12,0,12,222,137,124,102,51,71,73,75,1400000US08001009207,"Census Tract 92.07, Adams County, Colorado"
5756,448,3995,563,3221,624,76,92,14,27,435,331,4,9,31,51,214,136,0,17,214,136,1761,654,1677,652,0,17,27,45,0,17,0,17,0,17,57,94,0,17,57,94,1400000US08001009304,"Census Tract 93.04, Adams County, Colorado"
3588,342,1555,219,1460,224,1,4,0,12,69,88,6,11,7,12,12,31,0,12,12,31,2033,290,1876,281,0,12,0,12,0,12,0,12,115,93,42,47,27,30,15,20,1400000US08001009306,"Census Tract 93.06, Adams County, Colorado"
3483,397,1240,262,1078,259,8,12,42,60,54,47,0,12,10,19,48,53,0,12,48,53,2243,351,1722,360,0,12,133,203,0,12,0,12,341,221,47,74,0,12,47,74,1400000US08001009307,"Census Tract 93.07, Adams County, Colorado"
4445,591,1444,250,1381,233,0,12,34,42,0,12,0,12,9,14,20,21,0,12,20,21,3001,542,2404,515,0,12,24,28,0,12,0,12,484,290,89,77,30,35,59,55,1400000US08001009308,"Census Tract 93.08, Adams County, Colorado"
4268,268,2275,258,1660,226,17,20,0,12,522,179,0,12,0,12,76,65,0,12,76,65,1993,308,1706,324,0,12,0,12,0,12,0,12,110,100,177,171,0,12,177,171,1400000US08001009309,"Census Tract 93.09, Adams County, Colorado"
6290,752,2196,345,1815,347,165,127,28,30,140,122,13,26,0,17,35,41,0,17,35,41,4094,730,3514,778,23,37,16,26,0,17,0,17,224,202,317,234,0,17,317,234,1400000US08001009310,"Census Tract 93.10, Adams County, Colorado"
7372,680,2098,348,1888,333,156,195,45,47,0,17,0,17,0,17,9,16,0,17,9,16,5274,720,4942,769,0,17,0,17,0,17,0,17,318,236,14,23,14,23,0,17,1400000US08001009316,"Census Tract 93.16, Adams County, Colorado"
6254,882,2374,566,2062,554,50,51,11,22,110,152,0,17,0,17,141,165,0,17,141,165,3880,1115,2942,1115,0,17,0,17,0,17,0,17,763,488,175,154,27,40,148,149,1400000US08001009318,"Census Tract 93.18, Adams County, Colorado"
